1000;289542993;286150480;315143230
2000;1174239319;550574494;1337027920
3000;2595671610;824650216;2978795411
4000;4817197172;1146756600;5398828618
5000;7740457508;1457457101;8282703418
6000;12081184751;1736851626;12117197815
7000;16720240249;2357551959;16317271733
8000;23795241019;2579843609;21853587997
9000;30577883009;3257986511;27248688352
10000;40240840604;2987870508;34232741443
1000;297501141;278913914;307419988
2000;1153453669;524748805;1327994092
3000;2627346700;795910889;2980643880
4000;4719587159;1135718353;5427728743
5000;7771231175;1477642917;8285231294
6000;11992230977;1753633698;12114215823
7000;17229096534;2203782702;16475780122
8000;22857437894;2777654367;22359812966
9000;30856693508;3134537140;27759372953
10000;38647923370;3719046101;34340150654
1000;290292453;285636789;315198288
2000;1206673599;541895812;1327093494
3000;2666388175;828378717;2972554053
4000;4729362588;1164045780;5421587591
5000;7885654763;1485909014;8275754232
6000;11973096152;1736951345;12122943599
7000;17035107715;2238832465;16296290598
8000;24252743490;2464922956;21940644891
9000;31539912577;3160920974;27377758466
10000;38986381085;3599457358;34477426923
1000;316976419;292519644;314730395
2000;1208815225;517565164;1324607270
3000;2801716231;829440818;2964147387
4000;4881670003;1065035040;5415700373
5000;7886800879;1446532641;8315958831
6000;11886187637;1912147791;12120427732
7000;17338447726;2196650468;16295907050
8000;22893716362;2656558471;22005412900
9000;31198966059;3258275577;27381521676
10000;39553648020;3775651091;34323652184
1000;286793816;274960640;310635054
2000;1161431399;524514017;1328234627
3000;2682802573;823035469;2978059886
4000;4749465549;1101415982;5450433312
5000;7963822224;1536497853;8297549864
6000;12016436086;2121339736;12072045353
7000;16722470826;2300972181;16379141964
8000;23692650836;2719476136;21939437762
9000;31140561118;3033888431;27411773193
10000;40094581997;3639290298;34278651658
1000;291003033;276856271;314850454
2000;1183591665;551975894;1333894029
3000;2613809234;796888492;2985085865
4000;4674462501;1193704933;5384415393
5000;7914705201;1475465432;8224538154
6000;12451254354;1975822462;12108195711
7000;17226046776;2007395424;16367642445
8000;23898954545;2646769649;21975423463
9000;31137288759;3106527132;27375745633
10000;39246112274;3773474636;34543483241
1000;306086150;292981891;315040051
2000;1182078692;557139673;1325506533
3000;2655428077;820928335;2972329495
4000;4770870461;1101400506;5429213550
5000;8151835876;1570012225;8249476754
6000;12167507570;1870761219;12080609438
7000;17141573971;2546049364;16357410258
8000;22861826608;2774621208;22102208301
9000;30740439569;3189244066;27233378904
10000;39412763434;3753610505;33801383856
1000;292025944;267066664;309978231
2000;1172188696;540485345;1331192061
3000;2643947319;828199434;2980913700
4000;4804090658;1151194175;5422105815
5000;8176351872;1516730311;8306615785
6000;12050585502;1984833452;12023329563
7000;17430244884;2185118730;16406543564
8000;23083888510;2754279130;22462469257
9000;31156689045;3209765012;27283302167
10000;38786164814;3754010856;34219866341
1000;284511912;279646383;310872592
2000;1169737584;553632058;1332891584
3000;2698456029;890620254;2984417626
4000;4815091563;1068256346;5393342644
5000;8037490236;1496393998;8323335698
6000;12071289119;1980717502;12109737466
7000;17320326322;2312030140;16323077207
8000;23085971593;2502665535;21951216309
9000;31229631399;3220891202;27199762529
10000;40442708404;3431789342;34262555920
1000;293680914;262320065;311187331
2000;1168087736;531512098;1337827804
3000;2602074622;863628841;2968909979
4000;4787346263;1126774053;5399897870
5000;8086866011;1455718129;8290760881
6000;11874171927;1759795824;12110870378
7000;17212126364;2321167671;16367299473
8000;23547046894;2940218538;22218687296
9000;30983085884;3234743213;27569140528
10000;39409806269;3715012087;34216778269
1000;313254457;279606938;310440550
2000;1143423000;564741052;1326362437
3000;2712717571;770445615;2985821215
4000;4812521706;1117345025;5418529340
5000;7826858957;1501307608;8272625484
6000;12105401956;1796030341;12147781160
7000;17316592816;2022461820;16391093664
8000;24082494548;2720950689;22029629417
9000;30982044859;3227559422;28142423138
10000;39645323344;3716315181;34223640727
1000;303773536;278206580;308624650
2000;1179035346;518981171;1331012890
3000;2640377962;781856618;2985313457
4000;4873471879;1102275538;5398260697
5000;8089255713;1519666912;8298886614
6000;11959786336;1896721293;12147802795
7000;17165243657;2234692833;16368950777
8000;22850848411;2706288607;22035775231
9000;31006546049;3133699221;27309959313
10000;38928155743;3703952618;34493753552
1000;280623815;272464745;308053134
2000;1184621727;565357841;1323757132
3000;2833395629;775751504;2984313031
